"Latest: Time (s)","Latest: Y Acceleration 1 (m/s²)","Latest: X Acceleration 1 (m/s²)","Latest: Z Acceleration 1 (m/s²)","Latest: Z Acceleration 2 (m/s²)","Latest: X Acceleration 2 (m/s²)","Latest: Y Acceleration 2 (m/s²)"
8.206716,-1.4201081463,9.93160342186,0.0363051681779,0.653041662415,10.5235705127,-0.423199154611
8.208382,-1.4201081463,9.93160342186,0.0363051681779,0.688400779152,10.5235705127,-0.387840037874
8.210048,-1.4201081463,9.93160342186,0.0363051681779,0.653041662415,10.5599763638,-0.352480921138
8.211714,-1.4201081463,9.9769842971,0.0363051681779,0.759119012626,10.6327880661,-0.352480921138
8.21338,-1.4201081463,9.93160342186,0.0363051681779,0.653041662415,10.596382215,-0.352480921138
8.215046,-1.4201081463,9.93160342186,-0.00907570705749,0.617682545679,10.4871646616,-0.352480921138
8.216712,-1.37396335663,9.9769842971,-0.00907570705749,0.653041662415,10.5599763638,-0.352480921138
8.218378,-1.4201081463,9.9769842971,0.0363051681779,0.582323428942,10.4871646616,-0.458558271348
8.220044,-1.4201081463,9.9769842971,0.0363051681779,0.653041662415,10.5599763638,-0.352480921138
8.22171,-1.4201081463,9.93160342186,0.0363051681779,0.617682545679,10.5235705127,-0.387840037874
8.223376,-1.4201081463,9.9769842971,0.0363051681779,0.653041662415,10.5599763638,-0.352480921138
8.225042,-1.4201081463,9.9769842971,0.0363051681779,0.617682545679,10.5235705127,-0.387840037874
8.226708,-1.4201081463,9.9769842971,-0.00907570705749,0.653041662415,10.5235705127,-0.352480921138
8.228374,-1.4201081463,9.93160342186,0.0363051681779,0.653041662415,10.5235705127,-0.352480921138
8.23004,-1.37396335663,9.93160342186,0.0363051681779,0.617682545679,10.5235705127,-0.352480921138
8.231706,-1.37396335663,9.93160342186,0.0363051681779,0.688400779152,10.5599763638,-0.352480921138
8.233372,-1.37396335663,9.93160342186,0.0363051681779,0.723759895889,10.4871646616,-0.352480921138
8.235038,-1.37396335663,9.93160342186,0.0816860434134,0.688400779152,10.5235705127,-0.352480921138
8.236704,-1.37396335663,9.93160342186,0.0816860434134,0.794478129363,10.6327880661,-0.246403570927
8.23837,-1.37396335663,9.93160342186,0.0816860434134,0.723759895889,10.5235705127,-0.281762687664
8.240036,-1.37396335663,9.93160342186,0.0816860434134,0.688400779152,10.596382215,-0.21104445419
8.241702,-1.37396335663,9.88622254663,0.0816860434134,0.759119012626,10.5235705127,-0.281762687664
8.243368,-1.32781856696,9.93160342186,0.0816860434134,0.688400779152,10.4507588104,-0.352480921138
8.245034,-1.37396335663,9.93160342186,0.0816860434134,0.723759895889,10.5235705127,-0.281762687664
8.2467,-1.37396335663,9.88622254663,0.0363051681779,0.653041662415,10.4507588104,-0.387840037874
8.248366,-1.37396335663,9.93160342186,-0.00907570705749,0.688400779152,10.5235705127,-0.317121804401
8.250032,-1.32781856696,9.93160342186,0.0363051681779,0.688400779152,10.4871646616,-0.352480921138
8.251698,-1.32781856696,9.93160342186,0.0363051681779,0.688400779152,10.4871646616,-0.317121804401
8.253364,-1.37396335663,9.93160342186,-0.00907570705749,0.688400779152,10.5235705127,-0.352480921138
8.25503,-1.32781856696,9.93160342186,-0.00907570705749,0.653041662415,10.4871646616,-0.281762687664
8.256696,-1.32781856696,9.93160342186,-0.0544565822929,0.688400779152,10.5235705127,-0.317121804401
8.258362,-1.37396335663,9.93160342186,-0.0544565822929,0.688400779152,10.5235705127,-0.317121804401
8.260028,-1.32781856696,9.93160342186,-0.00907570705749,0.688400779152,10.5235705127,-0.281762687664
8.261694,-1.32781856696,9.93160342186,-0.00907570705749,0.794478129363,10.5599763638,-0.246403570927
8.26336,-1.2816737773,9.93160342186,-0.0544565822929,0.653041662415,10.5235705127,-0.246403570927
8.265026,-1.2816737773,9.93160342186,-0.00907570705749,0.617682545679,10.596382215,-0.175685337454
8.266692,-1.32781856696,9.93160342186,-0.0544565822929,0.688400779152,10.5235705127,-0.246403570927
8.268358,-1.32781856696,9.88622254663,-0.0544565822929,0.617682545679,10.4143529593,-0.281762687664
8.270024,-1.2816737773,9.93160342186,-0.00907570705749,0.688400779152,10.5235705127,-0.246403570927
8.27169,-1.32781856696,9.88622254663,-0.00907570705749,0.653041662415,10.4507588104,-0.352480921138
8.273356,-1.2816737773,9.88622254663,-0.00907570705749,0.723759895889,10.4507588104,-0.246403570927
8.275022,-1.32781856696,9.88622254663,-0.00907570705749,0.653041662415,10.4507588104,-0.246403570927
8.276688,-1.2816737773,9.88622254663,0.0363051681779,0.688400779152,10.4507588104,-0.246403570927
8.278354,-1.32781856696,9.84084167139,-0.00907570705749,0.688400779152,10.4507588104,-0.281762687664
8.28002,-1.2816737773,9.84084167139,0.0363051681779,0.688400779152,10.4143529593,-0.246403570927
8.281686,-1.2816737773,9.84084167139,0.0363051681779,0.688400779152,10.4507588104,-0.246403570927
8.283352,-1.2816737773,9.84084167139,0.0363051681779,0.688400779152,10.4143529593,-0.246403570927
8.285018,-1.2816737773,9.84084167139,0.0363051681779,0.759119012626,10.4507588104,-0.246403570927
8.286684,-1.2816737773,9.79546079616,-0.00907570705749,0.759119012626,10.4507588104,-0.246403570927
8.28835,-1.2816737773,9.84084167139,0.0363051681779,0.723759895889,10.4507588104,-0.21104445419
8.290016,-1.2816737773,9.84084167139,-0.00907570705749,0.794478129363,10.4507588104,-0.21104445419
8.291682,-1.2816737773,9.79546079616,-0.00907570705749,0.723759895889,10.4507588104,-0.21104445419
8.293348,-1.2816737773,9.84084167139,-0.00907570705749,0.653041662415,10.4871646616,-0.140326220717
8.295014,-1.2816737773,9.79546079616,-0.00907570705749,0.688400779152,10.4143529593,-0.21104445419
8.29668,-1.23552898763,9.79546079616,-0.00907570705749,0.617682545679,10.341541257,-0.246403570927
8.298346,-1.23552898763,9.79546079616,-0.0544565822929,0.723759895889,10.4507588104,-0.21104445419
8.300012,-1.23552898763,9.79546079616,-0.0544565822929,0.617682545679,10.341541257,-0.281762687664
8.301678,-1.23552898763,9.79546079616,-0.0544565822929,0.653041662415,10.4507588104,-0.175685337454
8.303344,-1.23552898763,9.79546079616,-0.0544565822929,0.653041662415,10.3779471082,-0.21104445419
8.30501,-1.18938419796,9.79546079616,-0.0544565822929,0.653041662415,10.4507588104,-0.21104445419
